distrito,year_date_of_spill_edit,mes_date_of_spill_edit,dia_date_of_spill_edit,release_prod_wtr,operator_rp,tipo_operacion_rrc,probable_cause,probable_cause_edit,spill_sustancias,release_crude_oil,release_cond,release_gas,recovery_crude_oil,recovery_cond,recovery_prod_wtr,affected_area,grado_sensibilidad_area,sensibilidad_area,cleanup_method,metodos_aplicados
27/10/2015,27.0,27/10/2015,27/10/2015,420,DCP INTRASTATE NETWORK,,CORROSION,0,13498,0,10.0,0,0,10,420,,,,,
18/11/2015,18.0,18/11/2015,18/11/2015,1890,RUCIAS,,CORROSION,0,16611,0,0.0,0,0,0,1848,,,,,
,,,,,,,,,,,,,,,,,,,,
23/12/2015,23.0,23/12/2015,23/12/2015,40,EOG RESOURCES,,INTERNAL CORROSION,CORROSION,21256,8,0.0,NR,0,0,0,,,,,
28/12/2015,28.0,28/12/2015,28/12/2015,2100,KILLAM,,MECHANICAL FAILURE,0,21364,0,0.0,0,0,0,0,,,,,
29/12/2015,29.0,29/12/2015,29/12/2015,630,LLC,,CORROSION,0,21540,0,15.0,,0,7.5,315,,,,,
27/1/2016,27.0,27/1/2016,27/1/2016,3990,ENTERPRISE PRODUCTS/ENTERPRISE OPERATING LLC,,CORROSION,0,25522,0,0.0,0,0,0,0,,,,,
8/2/2016,8.0,9/2/2016,9/2/2016,2520,LOPEZ,,MECHANICAL FAILURE,0,26399,0,0.0,0,0,0,2520,,,,,
25/2/2016,25.0,25/2/2016,25/2/2016,3360,INC,,CORROSION,0,28254,0,0.0,0,0,0,3360,,,,,
26/2/2016,26.0,26/2/2016,26/2/2016,5460,WEST,,MECHANICAL FAILURE,0,28375,0,0.0,0,0,0,5460,,,,,
8/3/2016,8.0,10/3/2016,10/3/2016,1764,SAN AMBROSIA F (SA) 12,,WEATHER,0,30002,0,0.0,0,0,0,1764,,,,,
10/3/2016,10.0,10/3/2016,10/3/2016,,SAUZ RANCH MULATOS PASTURE,WELL,5,210,30045,,,,,,OTHER RPT,,,,,
15/3/2016,15.0,16/3/2016,16/3/2016,110,EOG RESOURCES,,MECHANICAL FAILURE,MECHANICAL FAILURE,30614,0,20.0,,,,110,,,,,
19/3/2016,19.0,19/3/2016,19/3/2016,0,GALVAN RANCH,,0,0,31037,0,,,0,,OTHER RPT,,,,,
29/3/2016,29.0,29/3/2016,29/3/2016,15,EOG RESOURCES,,MECHANICAL FAILURE,MECHANICAL FAILURE,32053,0,15.0,0,0,0,0,,,,,
11/4/2016,11.0,12/4/2016,12/4/2016,3,EOG RESOURCES,,INTERNAL CORROSION,CORROSION,33842,27,0.0,0,0,0,0,,,,,
11/4/2016,11.0,12/4/2016,12/4/2016,168,WHITE OAK OPERATING COMPANY LLC,,CORROSION,0,33917,0,0.25,0,0,0,0,,,,,
22/4/2016,22.0,22/4/2016,22/4/2016,1680,INC.,,UNKNOWN,10,35304,420,0.0,0,0,0,0,,,,,
16/5/2016,16.0,16/5/2016,16/5/2016,2,KOCH PIPELINE  COMPANY,,WEATHER,WEATHER,37750,3,0.0,100 LBS,,,,,,,,
23/5/2016,23.0,23/5/2016,23/5/2016,5,SN OPERATING,,INTERNAL CORROSION,CORROSION,38664,0,5.0,0,,,,,,,,
31/5/2016,31.0,31/5/2016,31/5/2016,140,BLUEFIN RESOURCES,,WEATHER,WEATHER,39402,42,0.0,0,,,,,,,,
31/5/2016,31.0,1/6/2016,1/6/2016,5,TRINITY RIVER ENERGY OPER,,WEATHER,WEATHER,39523,0,1.0,0,0,0,0,,,,,
16/6/2016,16.0,16/6/2016,16/6/2016,0,MCGILL BROS,,0,0,41761,0.28,,,0,,OTHER RPT,,,,,
20/6/2016,20.0,21/6/2016,21/6/2016,1890,DCP MIDSTREAM,,CORROSION,0,42097,0,5.0,0,0,0,0,,,,,
23/6/2016,23.0,28/6/2016,28/6/2016,1680,ENTERPRISE PRODUCTS/ENTERPRISE OPERATING LLC,,OTHER,0,43191,0,0.0,0,0,0,1260,,,,,
21/8/2016,21.0,21/8/2016,21/8/2016,0,GLAVAN RANCH,,0,0,49187,10 GAL,10.0,,0,,OTHER RPT,,,,,
,,,,,,,,,,,,,,,,,,,,
5/8/2016,5.0,10/8/2016,10/8/2016,50,EOG RESOURCES,,UNKNOWN,UNKNOWN,51636,15,0.0,0,0,0,0,,,,,
2/9/2016,2.0,2/9/2016,2/9/2016,40,ESCONDIDO RESOURCES OPER CO,,WEATHER,WEATHER,51344,4,0.0,0,0,0,0,,,,,
22/9/2016,22.0,22/9/2016,22/9/2016,0,SM GATHERING SYSTEM,,5,210,54195,0,,,0,,OTHER RPT,,,,,
30/9/2016,30.0,30/9/2016,30/9/2016,365,KEY ENERGY SERVICES,,WEATHER,WEATHER,55240,10,0.0,0,0,0,0,,,,,
19/10/2016,19.0,19/10/2016,19/10/2016,0,SLICK T.B.,,0,0,57605,0,,,0,,OTHER RPT,,,,,
3/11/2016,3.0,4/11/2016,4/11/2016,0,SM ENERGY GATHERING SYSTEM,,0,0,59465,192,,,160,,H-8,,,,,
25/11/2016,25.0,25/11/2016,25/11/2016,0,SOUTH CALLAHAN RANCH,,0,0,61645,0,,,0,,OTHER RPT,,,,,
7/12/2016,7.0,7/12/2016,7/12/2016,10,EOG RESOURCES,,INTERNAL CORROSION,CORROSION,63081,0,10.0,0,0,0,0,,,,,
16/2/2017,16.0,16/2/2017,16/2/2017,2,LEWIS PETRO PROPERTIES,,INTERNAL CORROSION,CORROSION,72009,0,5.0,0,0,0,0,,,,,
27/2/2017,27.0,28/2/2017,28/2/2017,1,LINN OPERATING,,THIRD PARTY,THIRD PARTY,73369,0,0.0,0,0,0,0,,,,,
10/3/2017,10.0,10/3/2017,10/3/2017,100,CANYON CREEK ENERGY TEXAS,,WEATHER,WEATHER,74907,3,0.0,0,3,0,100,,,,,
9/3/2017,9.0,10/3/2017,10/3/2017,3318,DCP MIDSTREAM,,CORROSION,0,74941,0,6.0,0,,6,3318,,,,,
12/3/2017,12.0,13/3/2017,13/3/2017,260,SN EF MAVERICK,,INTERNAL CORROSION,CORROSION,75069,0,0.0,0,0,0,260,,,,,
12/3/2017,12.0,15/3/2017,15/3/2017,0,KL DROUGHT,,0,0,75478,0,,,0,,OTHER RPT,,,,,
,,,,,,,,,,,,,,,,,,,,
11/4/2017,11.0,12/4/2017,12/4/2017,0,DRISCOLL FOUNDATION,,0,0,78955,2,,,0,,OTHER RPT,,,,,
17/4/2017,17.0,18/4/2017,18/4/2017,3,LEWIS PETRO PROPERTIES,,WEATHER,WEATHER,79557,0,0.0,0,0,0,0,,,,,
17/4/2017,17.0,17/4/2017,17/4/2017,6300,LLC,,WEATHER,30,79575,1260,0.0,0,0,0,0,,,,,
17/4/2017,17.0,17/4/2017,17/4/2017,4,LEWIS PETRO PROPERTIES,,WEATHER,WEATHER,79787,0,0.0,0,0,0,0,,,,,
19/4/2017,19.0,19/4/2017,19/4/2017,0,GALVAN RANCH,,5,210,79881,0,,,0,,H-8,,,,,
14/5/2017,14.0,15/5/2017,15/5/2017,2,CHESTNUT EXPLOR. AND PROD.,,INTERNAL CORROSION,CORROSION,83446,0.25,0.0,0,0,0,0,,,,,
16/5/2017,16.0,16/5/2017,16/5/2017,0.42,GARZA,,MECHANICAL FAILURE,0,83659,0,0.0,0,0,0,0,,,,,
18/5/2017,18.0,18/5/2017,18/5/2017,0,GATES 09 ROSE A BVP,,0,0,83928,36,,,34,,OTHER RPT,,,,,
7/6/2017,7.0,7/6/2017,7/6/2017,15,CANTERA OPERATING,,INTERNAL CORROSION,CORROSION,86175,0,0.0,0,0,0,15,,,,,
14/6/2017,14.0,14/6/2017,14/6/2017,5460,DCP MIDSTREAM,,CORROSION,0,87230,0,7.0,0,0,0,0,,,,,
16/7/2017,16.0,17/7/2017,17/7/2017,6300,DCP MIDSTREAM,,CORROSION,0,91673,0,12.0,0,0,0,0,,,,,
22/7/2017,22.0,22/7/2017,22/7/2017,0,GALVAN,,0,0,92706,0,,,0,,OTHER RPT,,,,,
,,,,,,,,,,,,,,,,,,,,
22/8/2017,22.0,21/8/2017,21/8/2017,280,SN OPERATING,,MECHANICAL FAILURE,MECHANICAL FAILURE,96350,0,70.0,0,0,70,280,,,,,
30/8/2017,30.0,30/8/2017,30/8/2017,0,STATE TRACT 118,,0,0,97515,0.1,,,0,,OTHER RPT,,,,,
9/9/2017,9.0,9/9/2017,9/9/2017,5,LLC,,INTERNAL CORROSION,CORROSION,98861,,5.0,,,0,0,,,,,
4/10/2017,4.0,4/10/2017,4/10/2017,,GALVAN RANCH,,,,102361,2,,,1,,OTHER RPT,,,NO,,
11/10/2017,11.0,11/10/2017,11/10/2017,6720,INC,,CORROSION,,103303,,,,,,6636,1,,NO,,
15/10/2017,15.0,18/10/2017,18/10/2017,,O.M.  LAUREL ESTATE,,,,104403,8,,,0,,H-8,,,NO,,
31/10/2017,31.0,1/11/2017,1/11/2017,0,L 11 SOUTH PIPELINE,,0,0,106494,16,,,0,,H-8,,,NO,,
8/11/2017,8.0,8/11/2017,8/11/2017,223,LEWIS PETRO PROPERTIES,,UNKNOWN,UNKNOWN,107507,0,8.3,0,0,0,0,1,1,,,
,,,,,,,,,,,,,,,,,,,,
13/11/2017,13.0,13/11/2017,13/11/2017,0,CORPUS CHRISTI SYSTEM,,0,0,108038,0,,,0,,OTHER RPT,,,NO,,
,,,,,,,,,,,,,,,,,,,,
8/12/2017,8.0,5/12/2017,5/12/2017,58.8,DCP MIDSTREAM,,CORROSION,0,111059,0,0.6,0,0,0,0,1,,NO,,
14/12/2017,14.0,14/12/2017,14/12/2017,0,KELSEY 100# & 300# GGS,,0,0,112734,0,,,0,,OTHER RPT,,,NO,,
16/12/2017,16.0,15/12/2017,15/12/2017,0,ST MARY SYSTEM,,0,0,113202,10,,,0,,H-8,,,NO,,
10/12/2017,10.0,12/12/2017,12/12/2017,35,EOG RESOURCES,,INTERNAL CORROSION,CORROSION,112002,0,10.0,0,0,0,0,1,1,,,
8/1/2018,8.0,9/1/2018,9/1/2018,0,L 19 LATERAL,,0,0,115333,20,,,0,,OTHER RPT,,,NO,,
